x 	 sin(x) 	 cos(x) 
0	0	1
0.26179939	0.25881905	0.96592583
0.52359878	0.5	0.8660254
0.78539816	0.70710678	0.70710678
1.0471976	0.8660254	0.5
1.3089969	0.96592583	0.25881904
1.5707963	1	2.1073424e-08
1.8325957	0.96592583	0.25881905
2.0943951	0.8660254	0.5
2.3561945	0.70710678	0.70710678
2.6179939	0.5	0.8660254
2.8797933	0.25881904	0.96592583
3.1415927	-4.1020719e-10	1
3.403392	-0.25881905	0.96592583
3.6651914	-0.5	0.8660254
3.9269908	-0.70710678	0.70710678
4.1887902	-0.8660254	0.5
4.4505896	-0.96592583	0.25881904
4.712389	-1	-2.7326351e-07
4.9741884	-0.96592583	0.25881905
5.2359878	-0.8660254	0.5
5.4977871	-0.70710678	0.70710678
5.7595865	-0.5	0.8660254
6.0213859	-0.25881904	0.96592583
6.2831853	8.2041828e-10	1
6.5449847	0.25881905	0.96592583
6.8067841	0.5	0.8660254
7.0685835	0.70710678	0.70710678
7.3303829	0.8660254	0.5
7.5921822	0.96592583	0.25881904
7.8539816	1	2.0377031e-07
8.115781	0.96592583	0.25881905
8.3775804	0.8660254	0.5
8.6393798	0.70710678	0.70710678
8.9011792	0.5	0.8660254
9.1629786	0.25881904	0.96592583
9.424778	-1.2307182e-09	1
9.6865773	-0.25881905	0.96592583
9.9483767	-0.5	0.8660254
10.210176	-0.70710678	0.70710678
10.471976	-0.8660254	0.5
10.733775	-0.96592583	0.25881904
10.995574	-1	1.4999789e-05
11.257374	-0.96592583	0.25881905
11.519173	-0.8660254	0.5
11.780972	-0.70710678	0.70710678
12.042772	-0.5	0.8660254
12.304571	-0.25881904	0.96592583
12.566371	1.638893e-09	1
